"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.854008972644806,1.08685302734375,9.10435199737549,8.23823738098145,7.08255481719971,6.63755702972412,54.7156105041504,54.7521209716797,13.1482000350952,0,0,
1,0.01037292555,0,0,0,0.0747563988,0,0.02663269825,0,0.01054335386,0,0.01426781528,0,0.172009617090225,0.118985444307327,7.75661849975586,6.13235950469971,8.24602603912354,7.56292581558228,55.1018104553223,51.2345542907715,10.3212289810181,0,0,
2,0.04908888042,0,0,0,0.2553852499,0,0.07405936718,0,0.03549914435,0,0.04853529111,0,0.0374904982745647,0.0138124572113156,6.54600524902344,4.56498527526855,9.22692012786865,8.22835826873779,55.2543411254883,47.9431343078613,8.10326480865479,0,0,
3,0.1217847317,0,0,0,0.5151320696,0,0.1342186928,0,0.07169126719,0,0.09950081259,0,0.0140962740406394,0.00338739692233503,5.48499536514282,3.39859414100647,10.0441551208496,8.74198055267334,55.327205657959,44.8635368347168,6.36415529251099,0,0,
4,0.2318650633,0,0,0,0.8391672373,0,0.2040207386,0,0.1172261834,0,0.1658355892,0,0.013985900208354,0.00367943220771849,4.5727105140686,2.53080296516418,10.7149610519409,9.14305019378662,55.3521614074707,41.9823837280273,5.00155830383301,0,0,
5,0.3817410469,0,0,0,1.216481924,0,0.2815364003,0,0.1705322415,0,0.2467743307,0,0.0193561296910048,0.00544269755482674,3.80058360099792,1.88539230823517,11.2550210952759,9.45436859130859,55.3437881469727,39.2871742248535,3.93502283096313,0,0,
6,0.573174715,0,0,0,1.638010144,0,0.3653605878,0,0.230191052,0,0.3418020606,0,0.0264903102070093,0.00761418091133237,3.15601921081543,1.40562224388123,11.678599357605,9.69308280944824,55.3119659423828,36.766227722168,3.10131144523621,0,0,
7,0.8074295521,0,0,0,2.095883369,0,0.4543843865,0,0.2948894501,0,0.4505193233,0,0.0345174670219421,0.0100298374891281,2.62474226951599,1.04925346374512,11.9986610412598,9.87314510345459,55.2639350891113,34.4086151123047,2.45071029663086,0,0,
8,1.085350394,0,0,0,2.583072424,0,0.5476898551,0,0.3634078503,0,0.5725691915,0,0.0431510470807552,0.0126273734495044,2.19225716590881,0.784841775894165,12.2269821166992,10.00608253479,55.2050666809082,32.2041320800781,1.94413149356842,0,0,
9,1.407410622,0,0,0,3.093193054,0,0.6444934011,0,0.4346204698,0,0.7075910568,0,0.0522326119244099,0.0153588959947228,1.84471189975739,0.588978171348572,12.3742475509644,10.1014156341553,55.1393394470215,30.1432189941406,1.55083286762238,0,0,
10,1.773742795,0,0,0,3.620398998,0,0.7441123128,0,0.5074999332,0,0.8551925421,0,0.0616391412913799,0.0181814543902874,1.56936740875244,0.444234818220139,12.4501466751099,10.1669673919678,55.0697021484375,28.2169418334961,1.24663007259369,0,0,
11,2.184161186,0,0,0,4.159315109,0,0.8459436297,0,0.5811213255,0,1.014929891,0,0.0712638720870018,0.0210561566054821,1.35481262207031,0.337635904550552,12.463454246521,10.2091379165649,54.9983139038086,26.416934967041,1.01249027252197,0,0,
12,2.638179541,0,0,0,4.705001354,0,0.9494498372,0,0.6546657085,0,1.18629849,0,0.0810122117400169,0.0239482074975967,1.19101810455322,0.259519070386887,12.4221134185791,10.2331323623657,54.9267539978027,24.7353706359863,0.833428084850311,0,0,
13,3.13502574,0,0,0,5.25292635,0,1.054148436,0,0.7274202704,0,1.368726015,0,0.0908006057143211,0.0268269702792168,1.06929278373718,0.202687934041023,12.3333015441895,10.2431659698486,54.8561592102051,23.1649188995361,0.697639346122742,0,0,
14,3.67365694,0,0,0,5.798955917,0,1.159604907,0,0.7987778783,0,1.561574459,0,0.100556075572968,0.0296659730374813,0.982187569141388,0.161781206727028,12.2035007476807,10.2426290512085,54.7873382568359,21.6987171173096,0.595820307731628,0,0,
15,4.252773285,0,0,0,6.339339256,0,1.265426874,0,0.8682330251,0,1.764140844,0,0.110215812921524,0.0324428379535675,0.923371970653534,0.132803097367287,12.0385551452637,10.2342367172241,54.7208366394043,20.3303318023682,0.520633518695831,0,0,
16,4.870832443,0,0,0,6.870705128,0,1.371259451,0,0.9353762865,0,1.975664735,0,0.119726575911045,0.0351390913128853,0.887502610683441,0.112773813307285,11.8437280654907,10.2201490402222,54.6570281982422,19.0537357330322,0.466288208961487,0,0,
17,5.526065826,0,0,0,7.390053272,0,1.476782084,0,0.9998884797,0,2.195335627,0,0.129044100642204,0.0377399474382401,0.870093822479248,0.099469430744648,11.6237506866455,10.2020692825317,54.596134185791,17.8632793426514,0.428210973739624,0,0,
18,6.216495037,0,0,0,7.894747734,0,1.581705213,0,1.061532378,0,2.422301769,0,0.138132438063622,0.0402340516448021,0.867397129535675,0.0912283509969711,11.3828725814819,10.1813316345215,54.5382843017578,16.7536640167236,0.402787387371063,0,0,
19,6.939947605,0,0,0,8.382509232,0,1.685768127,0,1.120144248,0,2.65568161,0,0.146963253617287,0.0426131300628185,0.876292049884796,0.0868072733283043,11.1249017715454,10.158971786499,54.4835166931152,15.7199153900146,0.387158751487732,0,0,
20,7.694077969,0,0,0,8.851408005,0,1.788736224,0,1.175625324,0,2.894571781,0,0.155514940619469,0.0448716804385185,0.894189178943634,0.0852740705013275,10.8532409667969,10.1357822418213,54.4318199157715,14.7573652267456,0.379062712192535,0,0,
21,8.476385117,0,0,0,9.299848557,0,1.890399456,0,1.227933049,0,3.138059616,0,0.163771957159042,0.0470066368579865,0.918946623802185,0.0859281420707703,10.570930480957,10.1123609542847,54.3831367492676,13.8616304397583,0.376708030700684,0,0,
22,9.28423214,0,0,0,9.7265625,0,1.990570784,0,1.27707231,0,3.385231018,0,0.171724006533623,0.0490169934928417,0.948797821998596,0.0882411748170853,10.2806739807129,10.0891494750977,54.3373832702637,13.0285930633545,0.378676205873489,0,0,
23,10.11487103,0,0,0,10.13059044,0,2.089084148,0,1.323087811,0,3.635181427,0,0.179365292191505,0.0509035140275955,0.982290625572205,0.0918131470680237,9.9848747253418,10.0664672851563,54.2944564819336,12.2543811798096,0.383843928575516,0,0,
24,11.38974857,0,0,0,10.09671497,0,2.149599075,0,1.365226865,0,3.881978989,0,0.186122804880142,0.0526538789272308,1.01358819007874,0.0963208377361298,9.68565845489502,10.0438346862793,54.2542152404785,11.5367279052734,0.389514625072479,0,0,
25,12.18389893,0,0,0,10.33006573,0,2.22444582,0,1.398886323,0,4.093040943,0,0.191950023174286,0.0541729331016541,1.04123866558075,0.101380318403244,9.38494205474854,10.020658493042,54.2163581848145,10.8718814849854,0.394835859537125,0,0,
26,12.98464203,0,0,0,10.55828857,0,2.299187422,0,1.43081975,0,4.306130409,0,0.197476655244827,0.0554879307746887,1.06894934177399,0.106725081801414,9.0844030380249,9.99704170227051,54.1806106567383,10.2549123764038,0.401025742292404,0,0,
27,13.79000664,0,0,0,10.78136253,0,2.373739481,0,1.461054564,0,4.520758629,0,0.202828496694565,0.0567206367850304,1.09666800498962,0.112295486032963,8.78545951843262,9.97316455841064,54.1468620300293,9.68278312683105,0.407852649688721,0,0,
28,14.60031509,0,0,0,10.99984169,0,2.448220968,0,1.489704728,0,4.737035275,0,0.208035886287689,0.0578868389129639,1.12434303760529,0.118045687675476,8.48934364318848,9.9492130279541,54.1150245666504,9.15264415740967,0.415137141942978,0,0,
29,15.41364384,0,0,0,11.21362019,0,2.522532701,0,1.516799808,0,4.954454899,0,0.213109761476517,0.0589907690882683,1.15192627906799,0.123940125107765,8.19712257385254,9.92536449432373,54.0850105285645,8.66182136535645,0.422740250825882,0,0,
30,16.22595215,0,0,0,11.42204189,0,2.596379757,0,1.542312384,0,5.171938896,0,0.218046516180038,0.0600329376757145,1.17935717105865,0.129946425557137,7.90970993041992,9.90177631378174,54.0567474365234,8.20779609680176,0.430549651384354,0,0,
31,17.03980637,0,0,0,11.62613964,0,2.670060873,0,1.566425085,0,5.39016819,0,0.222850412130356,0.0610161162912846,1.20658493041992,0.13603900372982,7.62788581848145,9.87859630584717,54.0301475524902,7.78820705413818,0.438478738069534,0,0,
32,17.85123825,0,0,0,11.82523441,0,2.74327445,0,1.589117646,0,5.608066082,0,0.227527529001236,0.0619434528052807,1.23356783390045,0.142197355628014,7.35230541229248,9.85595893859863,54.0051383972168,7.40083789825439,0.446461081504822,0,0,
33,18.6606369,0,0,0,12.0197401,0,2.816109419,0,1.610499263,0,5.825720787,0,0.232078671455383,0.0628168359398842,1.26026320457458,0.148402512073517,7.08351516723633,9.83398628234863,53.9816474914551,7.04360437393188,0.454443424940109,0,0,
34,19.46626282,0,0,0,12.2095232,0,2.888456583,0,1.630617023,0,6.042644978,0,0.236508801579475,0.063639223575592,1.28663682937622,0.154638901352882,6.82196283340454,9.8127908706665,53.959602355957,6.71455192565918,0.462385177612305,0,0,
35,20.26640701,0,0,0,12.39445496,0,2.960205078,0,1.649521112,0,6.258356094,0,0.240818709135056,0.0644126385450363,1.31265389919281,0.16089129447937,6.5680079460144,9.79246997833252,53.9389419555664,6.41183948516846,0.47025328874588,0,0,
36,21.06144905,0,0,0,12.57487202,0,3.031425953,0,1.66730845,0,6.472931385,0,0.245012655854225,0.0651398822665215,1.33828663825989,0.167146846652031,6.32193088531494,9.77311515808105,53.9196014404297,6.13374137878418,0.478022754192352,0,0,
37,21.85173798,0,0,0,12.75107765,0,3.102186203,0,1.684066534,0,6.686443329,0,0.249099537730217,0.065824493765831,1.36352050304413,0.173396572470665,6.08394241333008,9.75481033325195,53.9015235900879,5.87864398956299,0.485676765441895,0,0,
38,22.63354111,0,0,0,12.9224596,0,3.172178268,0,1.699795008,0,6.897861481,0,0.253080278635025,0.0664683729410172,1.38833618164063,0.179630219936371,5.85419034957886,9.73762893676758,53.8846473693848,5.64502620697021,0.493200689554214,0,0,
39,23.40924072,0,0,0,13.08974648,0,3.24164319,0,1.714616776,0,7.107803345,0,0.2569580078125,0.0670738890767097,1.41271793842316,0.185838609933853,5.63276767730713,9.72163677215576,53.8689308166504,5.43146181106567,0.500583648681641,0,0,
40,24.17714119,0,0,0,13.25274086,0,3.310451508,0,1.728566885,0,7.315787315,0,0.260740131139755,0.0676440522074699,1.43665981292725,0.192015424370766,5.41971826553345,9.7068920135498,53.8543281555176,5.23661661148071,0.507819354534149,0,0,
41,24.93558884,0,0,0,13.41128635,0,3.378474474,0,1.741682172,0,7.521346092,0,0.264426589012146,0.0681804716587067,1.46014940738678,0.198152408003807,5.21504306793213,9.69344520568848,53.8407859802246,5.05923223495483,0.514901340007782,0,0,
42,25.6849041,0,0,0,13.56562424,0,3.445757627,0,1.754031539,0,7.724544048,0,0.268019407987595,0.0686851590871811,1.48317646980286,0.204241931438446,5.01870632171631,9.68133735656738,53.8282661437988,4.89812707901001,0.521824896335602,0,0,
43,26.42539024,0,0,0,13.71596241,0,3.512342215,0,1.765676737,0,7.925443649,0,0.271524608135223,0.0691606178879738,1.50573825836182,0.210278794169426,4.83063840866089,9.67060565948486,53.8167304992676,4.75219678878784,0.528588354587555,0,0,
44,27.15345192,0,0,0,13.8617363,0,3.577917337,0,1.776617527,0,8.123052597,0,0.274941295385361,0.0696082189679146,1.52782547473907,0.216255649924278,4.65074157714844,9.66127681732178,53.8061447143555,4.62039709091187,0.535188794136047,0,0,
45,27.87326431,0,0,0,14.00392628,0,3.642867088,0,1.786967278,0,8.31848526,0,0.278273940086365,0.0700300708413124,1.54943609237671,0.222167506814003,4.47889375686646,9.6533727645874,53.7964668273926,4.50175380706787,0.541625678539276,0,0,
46,28.58314705,0,0,0,14.14232063,0,3.707050085,0,1.796746135,0,8.51127243,0,0.281531512737274,0.0704287812113762,1.57057917118073,0.228013008832932,4.31495141983032,9.64691543579102,53.7876777648926,4.39536285400391,0.547902047634125,0,0,
47,29.28144836,0,0,0,14.2767334,0,3.770321131,0,1.80597508,0,8.70095253,0,0.284712761640549,0.0708053037524223,1.59125435352325,0.233787715435028,4.15875387191772,9.64191722869873,53.7797431945801,4.30036735534668,0.554018497467041,0,0,
48,29.96842766,0,0,0,14.40732956,0,3.832709074,0,1.814698577,0,8.887580872,0,0.287817746400833,0.0711609274148941,1.61145913600922,0.239486813545227,4.01012516021729,9.63838386535645,53.772632598877,4.21596145629883,0.559975326061249,0,0,
49,30.64432335,0,0,0,14.53427696,0,3.894236565,0,1.8229568,0,9.071212769,0,0.290849983692169,0.0714972466230392,1.63119614124298,0.245107114315033,3.86887764930725,9.63631820678711,53.7663269042969,4.14139175415039,0.565774381160736,0,0,
50,31.30937576,0,0,0,14.65771866,0,3.954928637,0,1.830786586,0,9.25190258,0,0.293813496828079,0.0718158185482025,1.65047097206116,0.250646650791168,3.73481369018555,9.63571739196777,53.760799407959,4.07595539093018,0.571418404579163,0,0,
51,31.9619236,0,0,0,14.77746487,0,4.014635563,0,1.838200331,0,9.429192543,0,0.296708643436432,0.0721176564693451,1.66928660869598,0.256102472543716,3.60772705078125,9.63657760620117,53.7560348510742,4.01899003982544,0.576909303665161,0,0,
52,32.60218811,0,0,0,14.89364624,0,4.073371887,0,1.84523046,0,9.603134155,0,0.299534976482391,0.072403647005558,1.6876425743103,0.261470854282379,3.48740577697754,9.63888359069824,53.7520027160645,3.96987128257751,0.582248330116272,0,0,
53,33.23223495,0,0,0,15.0067482,0,4.131330013,0,1.851926208,0,9.774283409,0,0.302298158407211,0.072675347328186,1.70554804801941,0.266751319169998,3.37363362312317,9.64262199401855,53.7486877441406,3.92802166938782,0.587439179420471,0,0,
54,33.85038757,0,0,0,15.11652756,0,4.188351631,0,1.858293414,0,9.942175865,0,0.305001527070999,0.0729338601231575,1.72301340103149,0.271943807601929,3.26619148254395,9.64777755737305,53.7460746765137,3.89290308952332,0.592485785484314,0,0,
55,34.45684052,0,0,0,15.22312164,0,4.244452477,0,1.864356875,0,10.10686302,0,0.307644695043564,0.0731798559427261,1.74004340171814,0.277046740055084,3.1648588180542,9.65433025360107,53.7441482543945,3.86400628089905,0.597390830516815,0,0,
56,35.04993439,0,0,0,15.32631874,0,4.299472809,0,1.870121121,0,10.26789093,0,0.310226261615753,0.0734139233827591,1.75663983821869,0.282057493925095,3.06941413879395,9.66225337982178,53.7428894042969,3.84085083007813,0.602156043052673,0,0,
57,35.63349915,0,0,0,15.42686462,0,4.353764534,0,1.875642061,0,10.42629433,0,0.312750846147537,0.0736371874809265,1.7728123664856,0.286976218223572,2.97963666915894,9.67152214050293,53.7422866821289,3.822993516922,0.60678505897522,0,0,
58,36.20403671,0,0,0,15.52422142,0,4.406998634,0,1.880903125,0,10.58112335,0,0.315220981836319,0.0738504528999329,1.7885707616806,0.291803389787674,2.89530730247498,9.68210983276367,53.7423286437988,3.81002068519592,0.61128169298172,0,0,
59,36.76171494,0,0,0,15.6184988,0,4.45918417,0,1.885923147,0,10.73242283,0,0.317632377147675,0.0740538537502289,1.80391466617584,0.296535938978195,2.81620860099792,9.6939811706543,53.742992401123,3.80153512954712,0.615647077560425,0,0,
60,37.31029129,0,0,0,15.71039009,0,4.510666847,0,1.890749335,0,10.88121033,0,0.319991707801819,0.0742485597729683,1.81885671615601,0.301175624132156,2.74212622642517,9.70710563659668,53.7442741394043,3.7971773147583,0.619885683059692,0,0,
61,37.84449387,0,0,0,15.79907513,0,4.560945988,0,1.895348907,0,11.02605438,0,0.322298437356949,0.0744349509477615,1.8334037065506,0.305722117424011,2.67284965515137,9.7214469909668,53.7461624145508,3.79660558700562,0.624000310897827,0,0,
62,38.36985016,0,0,0,15.88553715,0,4.610537052,0,1.899781108,0,11.16845417,0,0.324553430080414,0.0746135264635086,1.84756302833557,0.310175478458405,2.6081714630127,9.73696994781494,53.7486381530762,3.79950213432312,0.627993941307068,0,0,
63,38.88288498,0,0,0,15.96924877,0,4.65910387,0,1.904027224,0,11.30746841,0,0.32676100730896,0.074785053730011,1.8613475561142,0.314537823200226,2.54788875579834,9.75364017486572,53.7517013549805,3.80557513237,0.631870925426483,0,0,
64,39.38372803,0,0,0,16.05029297,0,4.706653118,0,1.908098459,0,11.44313145,0,0.328916728496552,0.0749495029449463,1.87475883960724,0.318807333707809,2.49180388450623,9.7714147567749,53.7553367614746,3.81454133987427,0.635632753372192,0,0,
65,39.87427521,0,0,0,16.12903786,0,4.75335741,0,1.912019491,0,11.57596111,0,0.331023573875427,0.0751074701547623,1.88780522346497,0.322984725236893,2.43972325325012,9.79025554656982,53.7595329284668,3.82614207267761,0.639282464981079,0,0,
66,40.35461807,0,0,0,16.20552635,0,4.799219608,0,1.915798545,0,11.70598125,0,0.333085894584656,0.0752596110105515,1.90049982070923,0.327072560787201,2.3914589881897,9.81012344360352,53.7642822265625,3.84014177322388,0.642824351787567,0,0,
67,40.82133102,0,0,0,16.27927399,0,4.843905926,0,1.919416785,0,11.8322649,0,0.335099160671234,0.0754058212041855,1.91284441947937,0.331069320440292,2.34682822227478,9.83097648620605,53.7695770263672,3.85630893707275,0.646259844303131,0,0,
68,41.27980804,0,0,0,16.35117722,0,4.887924671,0,1.922922492,0,11.95627594,0,0.3370660841465,0.0755465850234032,1.9248468875885,0.334975957870483,2.3056538105011,9.85277271270752,53.7754096984863,3.87443375587463,0.649591743946075,0,0,
69,41.72660446,0,0,0,16.4207325,0,4.930940628,0,1.9262954,0,12.07708263,0,0.338990718126297,0.0756824612617493,1.93651986122131,0.338795125484467,2.2677640914917,9.87547206878662,53.7817687988281,3.89432573318481,0.6528240442276,0,0,
