"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,2.29473304748535,5.18214893341064,57.7762489318848,51.4291496276855,50.4615783691406,41.1112289428711,260.508605957031,366.579315185547,64.0471420288086,0,0,
1,6.253118045E-05,0,0,0,0,0,0.2954560518,0,0.02776502445,0,0.03784010187,0,1.25026500225067,2.06174468994141,53.0833625793457,42.5365104675293,83.1933822631836,44.8076667785645,261.955657958984,322.487274169922,52.6588516235352,0,0,
2,0.0006677774945,0,0,0,0,0,0.855749011,0,0.07946959138,0,0.1106549352,0,0.729145526885986,0.826403081417084,48.2604866027832,35.1819877624512,110.239601135254,48.0792465209961,262.839904785156,283.698608398438,43.295524597168,0,0,
3,0.002668574452,0,0,0,0,0,1.589781761,0,0.1453851759,0,0.2081388235,0,0.510908484458923,0.342830300331116,43.4978294372559,29.0998649597168,132.362899780273,50.9910583496094,263.399200439453,249.575454711914,35.5970993041992,0,0,
4,0.007130868733,0,0,0,0,0,2.461053371,0,0.2210352272,0,0.3269016743,0,0.470431208610535,0.159621357917786,38.9228668212891,24.0703182220459,150.230651855469,53.5900497436523,263.747131347656,219.556625366211,29.2675399780273,0,0,
5,0.01528352499,0,0,0,0.381662935,0,3.064500809,0,0.3033125103,0,0.4651288092,0,0.521831810474396,0.096853494644165,34.621265411377,19.9115104675293,164.426574707031,55.9105758666992,263.944488525391,193.148483276367,24.0651912689209,0,0,
6,0.02849109285,0,0,0,1.132014275,0,3.39557147,0,0.38981691,0,0.6216322184,0,0.60183310508728,0.0826540589332581,30.6484527587891,16.4730358123779,175.4609375,57.9775199890137,264.028198242188,169.916778564453,19.7930469512939,0,0,
7,0.04823535681,0,0,0,1.996752262,0,3.694293499,0,0.4786181748,0,0.795502305,0,0.685492336750031,0.0881768316030502,27.0306529998779,13.630485534668,183.779556274414,59.8116340637207,264.0234375,149.479461669922,16.287914276123,0,0,
8,0.07610122114,0,0,0,2.957867384,0,3.966439962,0,0.5681431293,0,0.9859474897,0,0.769002318382263,0.10173187404871,23.7726745605469,11.2809572219849,189.771667480469,61.432373046875,263.94873046875,131.500473022461,13.4143733978271,0,0,
9,0.1137648895,0,0,0,4.000302315,0,4.216216087,0,0.6571104527,0,1.192212462,0,0.850468993186951,0.118490435183048,20.8668746948242,9.33933448791504,193.77685546875,62.85791015625,263.818389892578,115.684196472168,11.0609321594238,0,0,
10,0.1629832387,0,0,0,5.111016273,0,4.446813583,0,0.7444863915,0,1.413534403,0,0.928971290588379,0.136385545134544,18.2973594665527,7.73521327972412,196.091186523438,64.1051559448242,263.643798828125,101.770553588867,9.13579368591309,0,0,
11,0.2255838662,0,0,0,6.278424263,0,4.660731316,0,0.8294510841,0,1.649121046,0,1.00408315658569,0.154477462172508,16.0430755615234,6.41035556793213,196.972564697266,65.1897506713867,263.434020996094,89.53076171875,7.56337213516235,0,0,
12,0.3034550548,0,0,0,7.492040634,0,4.859974861,0,0.9113703966,0,1.898143888,0,1.07563126087189,0.172300025820732,14.0800771713257,5.31658792495728,196.645401000977,66.126091003418,263.196380615234,78.7635803222656,6.28142023086548,0,0,
13,0.3985358477,0,0,0,8.742245674,0,5.04618454,0,0.9897711873,0,2.159735441,0,1.14357435703278,0.18959741294384,12.3831577301025,4.41405916213989,195.304794311523,66.927375793457,262.936859130859,69.2919769287109,5.2386679649353,0,0,
14,0.5128053427,0,0,0,10.02011967,0,5.22072649,0,1.064319015,0,2.432991505,0,1.2079416513443,0.206216439604759,10.9269905090332,3.66980147361755,193.1201171875,67.6056671142578,262.660217285156,60.9602317810059,4.39287614822388,0,0,
15,0.6482718587,0,0,0,11.31733418,0,5.384753227,0,1.134797931,0,2.716981888,0,1.26880323886871,0.222061157226563,9.68691062927246,3.05654048919678,190.23828125,68.1719436645508,262.370208740234,53.6313591003418,3.70923733711243,0,0,
16,0.806961,0,0,0,12.62607193,0,5.53924799,0,1.201092124,0,3.010754108,0,1.32625448703766,0.237072303891182,8.63943481445313,2.5517098903656,186.786437988281,68.6361923217773,262.069946289063,47.1848602294922,3.15906047821045,0,0,
17,0.9909032583,0,0,0,13.9389658,0,5.685059071,0,1.263169408,0,3.313344955,0,1.38040804862976,0.251216918230057,7.76256799697876,2.13663768768311,182.874572753906,69.0075073242188,261.761840820313,41.5147514343262,2.7186861038208,0,0,
18,1.202120423,0,0,0,15.24906158,0,5.82292366,0,1.321065426,0,3.623785973,0,1.43138885498047,0.264482080936432,7.03597736358643,1.79587209224701,178.597534179688,69.2941207885742,261.447814941406,36.5278053283691,2.36859607696533,0,0,
19,1.442611694,0,0,0,16.54978752,0,5.95348835,0,1.374870777,0,3.941116333,0,1.47933089733124,0.276870727539063,6.44105529785156,1.51662564277649,174.037033081055,69.5035247802734,261.12939453125,32.1420059204102,2.09268164634705,0,0,
20,1.714338064,0,0,0,17.83493805,0,6.077323914,0,1.424718857,0,4.264386654,0,1.52437496185303,0.288398265838623,5.96091318130493,1.28831386566162,169.263244628906,69.6425018310547,260.807739257813,28.2852325439453,1.87763917446136,0,0,
21,2.019206762,0,0,0,19.09865379,0,6.194936275,0,1.470775723,0,4.592665672,0,1.5666663646698,0.299089908599854,5.58032464981079,1.10217475891113,164.336288452148,69.7172393798828,260.483764648438,24.8940410614014,1.71247625350952,0,0,
22,2.359054089,0,0,0,20.33542442,0,6.306777954,0,1.513230681,0,4.925048351,0,1.60635256767273,0.308978348970413,5.28563833236694,0.950953722000122,159.307540893555,69.7333450317383,260.158111572266,21.9126319885254,1.58810269832611,0,0,
23,2.735627651,0,0,0,21.54008102,0,6.413253784,0,1.552289128,0,5.260660648,0,1.64358162879944,0.318101674318314,5.06467199325562,0.828643321990967,154.220703125,69.6959228515625,259.831329345703,19.2919273376465,1.49699592590332,0,0,
24,3.150569439,0,0,0,22.70779991,0,6.514730453,0,1.588165641,0,5.598662376,0,1.67850089073181,0.326501786708832,4.90659666061401,0.730267703533173,149.112854003906,69.6096267700195,259.503753662109,16.9887599945068,1.4329252243042,0,0,
25,3.605395079,0,0,0,23.83410263,0,6.61153698,0,1.62107873,0,5.938250542,0,1.71125495433807,0.334222972393036,4.80181789398193,0.651704668998718,144.015258789063,69.4787063598633,259.175720214844,14.9651679992676,1.3907253742218,0,0,
26,4.101476192,0,0,0,24.91486359,0,6.703974247,0,1.651246905,0,6.278662682,0,1.74198532104492,0.341310620307922,4.74185991287231,0.589538335800171,138.954147338867,69.3070297241211,258.847320556641,13.187762260437,1.36611044406891,0,0,
27,4.64002037,0,0,0,25.94632149,0,6.79231596,0,1.678884506,0,6.619177818,0,1.77082824707031,0.347810387611389,4.71925449371338,0.540937304496765,133.951385498047,69.09814453125,258.518707275391,11.6271753311157,1.35552024841309,0,0,
28,5.222053051,0,0,0,26.92508125,0,6.876811028,0,1.704199314,0,6.959116459,0,1.79791486263275,0.353767275810242,4.72743511199951,0.503554046154022,129.025054931641,68.8552703857422,258.189880371094,10.2575817108154,1.35599517822266,0,0,
29,5.848396301,0,0,0,27.84813118,0,6.957688332,0,1.727391005,0,7.297844887,0,1.82337033748627,0.359225183725357,4.76064157485962,0.475441455841064,124.189949035645,68.5813980102539,257.860931396484,9.05626678466797,1.36507272720337,0,0,
30,6.519652843,0,0,0,28.71284294,0,7.035159111,0,1.748648524,0,7.634770393,0,1.84731340408325,0.364226251840591,4.81383085250854,0.454983979463577,119.458023071289,68.2792434692383,257.531768798828,8.00325107574463,1.38070213794708,0,0,
31,7.236185551,0,0,0,29.51699066,0,7.109416485,0,1.76815033,0,7.969346046,0,1.86985599994659,0.368810683488846,4.88259649276733,0.440840870141983,114.838790893555,67.9512939453125,257.202392578125,7.08096027374268,1.40117526054382,0,0,
32,9.28912735,0,0,0,27.34255028,0,7.659475803,0,1.773151636,0,8.059484482,0,1.9093314409256,0.372193962335587,4.92592144012451,0.430899649858475,110.339660644531,67.6011810302734,256.872528076172,6.27772331237793,1.41174900531769,0,0,
33,10.01041698,0,0,0,27.48862457,0,7.638119698,0,1.782744169,0,8.237705231,0,1.95320904254913,0.374468505382538,4.93857479095459,0.423787206411362,105.966575622559,67.2303085327148,256.541839599609,5.57923460006714,1.41117763519287,0,0,
34,10.7610178,0,0,0,27.64132881,0,7.624318123,0,1.792445183,0,8.425474167,0,1.97708630561829,0.376601696014404,4.95421314239502,0.419418096542358,101.72386932373,66.8375854492188,256.210266113281,4.96907663345337,1.41207253932953,0,0,
35,11.5385704,0,0,0,27.79997063,0,7.617586613,0,1.802183151,0,8.622076988,0,1.99079501628876,0.378687977790833,4.9726734161377,0.417394012212753,97.6141052246094,66.4234466552734,255.877731323242,4.43678903579712,1.41423058509827,0,0,
36,12.34298801,0,0,0,27.96431541,0,7.617405415,0,1.811921239,0,8.827364922,0,1.9995801448822,0.380757927894592,4.9937891960144,0.417381942272186,93.6387176513672,65.9891052246094,255.544235229492,3.97316384315491,1.41748011112213,0,0,
37,13.17642498,0,0,0,28.13459587,0,7.623316288,0,1.821653605,0,9.041769981,0,2.00622367858887,0.382821053266525,5.017409324646,0.419107586145401,89.798210144043,65.5361328125,255.209671020508,3.57010626792908,1.42168033123016,0,0,
38,14.03432274,0,0,0,28.30969238,0,7.634847641,0,1.831300974,0,9.264006615,0,2.01217913627625,0.3848757147789,5.04338359832764,0.422340512275696,86.09228515625,65.0662384033203,254.874038696289,3.22048783302307,1.42671132087708,0,0,
39,14.92107677,0,0,0,28.49030876,0,7.651649475,0,1.8408916,0,9.495101929,0,2.01819181442261,0.386917948722839,5.07157039642334,0.426889151334763,82.5199890136719,64.581184387207,254.53727722168,2.9180371761322,1.43247258663177,0,0,
40,15.83215904,0,0,0,28.6753521,0,7.673266888,0,1.850360513,0,9.733772278,0,2.02462697029114,0.388943910598755,5.10183906555176,0.432593941688538,79.0797958374023,64.0826797485352,254.199325561523,2.65723752975464,1.43887960910797,0,0,
41,16.77194405,0,0,0,28.86553764,0,7.699465275,0,1.859741092,0,9.981060982,0,2.03165149688721,0.390949994325638,5.13406848907471,0.439321964979172,75.7697372436523,63.5723991394043,253.860168457031,2.43323421478271,1.44586133956909,0,0,
42,17.7337265,0,0,0,29.0593586,0,7.729733944,0,1.868960142,0,10.23510551,0,2.03932094573975,0.392932265996933,5.16813993453979,0.44695982336998,72.5874633789063,63.0519371032715,253.519775390625,2.24175024032593,1.45335566997528,0,0,
43,18.72408104,0,0,0,29.25798988,0,7.763981342,0,1.878079295,0,10.49754429,0,2.0476405620575,0.394888430833817,5.20394420623779,0.455412894487381,69.5303115844727,62.5228118896484,253.178100585938,2.07902216911316,1.46131002902985,0,0,
